,title,movie_type,date
284,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
285,活着,灾难,2020-06-24
286,中国机长,剧情／传记,2019-09-30
287,两只老虎,剧情／喜剧,2019-11-29
288,釜山行,动作／惊悚／灾难,2016-05-13
289,流浪地球,剧情／冒险／科幻,2019-02-05
290,囧妈,剧情／喜剧,2020-01-25
291,速度与激情：增压,动作／短片,2015-06-25
292,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
293,我和我的祖国,剧情,2019-09-30
294,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
295,最美逆行,剧情,2020-06-28
296,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
297,因爱而伟大,剧情／家庭,
298,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
299,南方车站的聚会,剧情／犯罪,2019-12-06
